English Terms,中文术语,中文定义,
Protectionism,保护主义,政府为防止进口损害国内生产商而采取的措施,
Provisional Call Feature,有条件买回条款,可转换证券的一项条款，容许发行人在不可买回期内可以在股价达到某个水平的情况下买回证券,
Proxy,代理委托书,由一名股东签署，授权另一名股东或公司管理人员在年度股东大会代表他投票的正式文件,
Public ,公开资产,在公开市场，例如股票市场买卖的资产,
Public Company,上市公司,通过公开发行发售证券，证券正在公开市场买卖的公司,
Public Offering Price (POP),公开发行价值,承销商向公众发售新发行证券的价格,
Purchase Acquisition,购股接管,合并收购项目采用的会计方法，买方将目标公司当作投资，将目标公司的资产根据公平市场价值加入本身的资产,
Purchasing Power,购买力,购买货品及服务的能力，或一个单位资金可以买到的货品及服务数量,
Pure Play,单一业务,专门经营一种业务的公司，或股价与一种投资主题或策略的表现有密切关系的公司,
Put Bond,可卖回债券,债券的一种，条款规定发行人必须在到期前的特定日期回购证券。回购价格在发行时设定，一般相等于票值,
Put-Call Parity,买入-出售价差,对同一种证券、到期日相同的出售期权价格与买入期权价格之间的关系,
Put-Call Ratio,买入-出售比率,出售期权与买入期权交易量的比率，用作评估市场的投资气氛,
Put Warrant,出售认股权证,一种认股权证，给与持有人以协定价格、在特定日期或之前出售相关股票的权力,
"Q1, Q2, Q3, Q4",季度(第一季度、第二季度、第三季度、第四季度),财务日历内的三个月时期，作为申报盈利及支付股息的基准时期,
QIB,合资格机构投资者,主要指管理最少1亿美元证券的机构，包括银行、存款及贷款公司、保险公司、投资公司、员工福利计划或合资格投资者全资拥有的股本，也包括拥有或可自主投资1000万美元证券的注册经纪人,
Qualified Institutional Buyer (QIB),合资格机构投资者,主要指管理最少1亿美元证券的机构，包括银行、存款及贷款公司、保险公司、投资公司、员工福利计划或合资格投资者全资拥有的股本，也包括拥有或可自主投资1000万美元证券的注册经纪人,
Qualitative Analysis,定性分析,根据非财务信息，例如管理质量、行业周期性、研发实力及劳工关系，利用主观判断评估证券的分析方法,
Quality of Earnings,盈利质量,销售量较高或成本较低造成盈利的金额，相对于利用不常规会计方法，例如夸张库存造成的人造利润,
Quantitative Analysis,定量分析,指利用公司年报及损益表提供的财务资料作出投资决策的证券分析方法,
"Quarter (Q1, Q2, Q3, Q4)",季度(第一季度、第二季度、第三季度、第四季度),财政日历内的三个月时期，作为申报盈利及支付股息的基准时期,
Quick Assets,速动资产,可以迅速转换成为现金或已属于现金形式的资产。计算方法为流动资产减库存,
Quick Ratio,速动比率,公司财务实力的指标。计算方法为流动资产减库存，然后除以流动负债。也称为酸性测试比率,
Quiet Filing,安静申请,指促意不包括重要细节的首次公开上市申请。发行人向美国证监会提交安静申请的目的在于展开新证券发行的申请过程，未提交资料必须在补充文件中披露。这种申请方式所需的时间一般比传统申请方法要长,
Quiet Period,静止期,在首次公开上市的过程中，静止期指美国证监会禁止发行人进行公开推销活动的时期。静止期一般为发行后的40至90日,
Quorum,法定人数,根据公司章程公司，促使会议决议有效所需的最低权益方数目,
Quota,配额、限额,对于国际贸易而言，指特定货品可以进口的最高限额,
R&D,研究开发,旨在开发新产品或新工序的企业活动,
R/E,保留盈余,没有用作股息派发给股东，但保留在公司用作投资公司核心业务或偿付债务的净利润百分比。,
REIT,房地产投资信托,一种像股票一样在大型交易所买卖的证券，主要通过物业项目或抵押直接投资于房地产。房地产投资信托可享有特殊的税务优惠，一般可为投资者带来高收益以及流通性非常高的房地产投资渠道。房地产投资信托可分为股本房地产投资信托、抵押房地产投资信托及混合房地产投资信托,
ROA,资产回报率,评估公司相对其总资产值的盈利能力的有用指标。计算的方法为公司的年度盈利除以总资产值，资产回报率一般以百分比表示。有时也称为投资回报率，备注：有些人士在计算回报率时在净收入上加回利息开支，以得出扣除借贷成本前的营运回报率,
ROC,变动率,一个可变因素在特定时期内变化的速度,
ROCE ,已动用资本回报率,显示公司资本投资效益及盈利能力的比率,
ROE,股本回报率,公司盈利能力的指标，股本回报率是比较同一行业内不同企业盈利能力的拥有指标,
ROI,投资回报率,一总投资交易所得的收益或亏损，一般以年度回报百分比表达,
ROIC ,投资资金回报率,评估公司质量的指标，常用的计算方法为：,
Rally ,价格回升,个别证券、债券或指数的价格在一段持平或下跌时期后再度上升,
Range,价格波幅,一种股票在一个交易期内最高与最低水平，例如与交易日结束时、交易日开始时、一天、一个月、一年等,
Rate of Change (ROC),变动率,一个可变因素在特定时期内变化的速度,
Rating Agency,评级机构,一家评估债务及优先股发行偿还本金、利息或股息安全度的机构，例如穆迪或标准普尔,
Rationalization,优化改组,通过改组提高公司效益的措施。改组可导致公司扩大或缩小规模、改变政策、修改个别产品的策略等,
Real Asset,实际资产,指实物或可证实的资产，例如黄金、土地、设备、专利权等，是金融资产的相反,
Real Estate,房地产,土地以及土地上的所有永久建设，包括建筑物、工作棚及其他附设的结构,
Real Estate Agent,房地产代理,持有许可证，可代表买方及卖方处理房地产交易，以赚取佣金的人士。大部分代理人受聘于房地产经纪公司,
Real Estate Investment Trust (REIT),房地产投资信托,一种像股票一样在大型交易所买卖的证券，主要通过物业项目或抵押直接投资于房地产，房地产投资信托可享有特殊的税务优惠，一般可为投资者带来高收益以及流通性非常高的房地产投资渠道。房地产投资信托可分为股本房地产投资信托、抵押房地产投资信托及混合房地产投资信托,
Real Interest Rate,实际利率,利率高于通胀率的差额。实际利率大约相等于名义利率减通胀率,
Real Rate of Return,实际回报率,投资在根据通胀或通缩调整价格后的年度回报率,
Realized Loss,实现损失,由于资产出售的价格低于原来买入价格而造成的损失,
Realized Profit,实现利润,由于出售资产的价格高于原来买入价格而带来的收益,
Recapitalization ,资本结构调整,在不影响公司总体股本的情况下重组公司的债务及股本组合,
Receivable Turnover Ratio ,应收账款周转率,计算公司发出信贷及回收债务效率的会计指标,
Recession,经济衰退,指为期超过几个月，各方面经济活动都减弱的情况。工业生产、就业、实际收入及批发和零售交易等方面都可以发现衰退的迹象。经济衰退的技术指标是国内生产总值连续两个季度出现负增长,
Record Date,记录日,证券发行人设定的日期，用以确认有权获得股息或其他分配的证券持有人,
Red Chip,红筹公司,指在香港注册成立，但控股股东为中国实体的公司,
Red Herring ,红头招股书、公开说明书初稿,必须向美国证监会提交的注册文件，其中描述首次公开上市的细节及公司的前景。红头说明书中并无注明发行的价格或发行规模,
Redemption,赎回,向投资者退还证券例如股票、债券或共同基金的本金,
Reference Rate,参考比率,作为浮息证券利率参考基准的指数或利率,
Reflation ,通货复涨、通货在膨胀,政府的经济政策，指政府利用财政或货币手段刺激经济以增加国家的生产,
Refunding,债券换新,利用发行新债券的资金清偿到期债券,
Regional Stock Exchange,地区股票交易所,位于国家主要金融中心以外的交易所,
Registered Investment Advisor (RIA),注册投资顾问,在美国证监会注册，专责为投资者管理投资的顾问,
Registration Right,注册权,给与持有有限制股票的投资者的合约权利，可要求发行公司将股票在美国证监会注册，从而使股票可以向公众出售,
Regressive Tax,累退税,低收入人士的税率高于高收入人士的税务制度,
Regulated Investment Company (RIC),受监管投资公司,指获准将资本收益、股息的税项或利息开支转嫁客户或个人投资者的共同基金或房地产投资信托,
Regulation A,条例A,美国证监会的条例，监管符合简易注册(豁免)规定，规模500万美元以下的发行,
Regulation D,条例D,美国证监会的条例，监管无投资银行参与的私募项目的豁免,
Regulation FD (Reg FD),条例FD,美国证监会的条例，旨在防止上市公司向市场专业人员及若干股东作出选择性披露,
Regulation G,条例G,联邦储备局条例，监管商业贷款方及非金融企业对证券交易发放的信贷,
Regulation M,条例M,美国税务局条例，促使受监管投资公司可以将资本收益、股息或利息的税项转嫁客户或个人投资者,
Regulation Q,条例Q,联邦储备局条例，监管银行向储蓄存款支付的利率,
Regulation T,条例T,联邦储备局条例，监管客户的现金账户，以及证券行及交易商向客户提供信贷，用作购买证券的金额,
Regulation U,条例U,联邦储备局条例，监管银行对购买证券的贷款,
Reinsurance,再保险,保险公司向其他机构投保承保的保单，以抵消风险,
Reinvestment,再投资,利用共同基金赚得的股息、利息及资本收益购买更多的股票，而不接收现金,
Reinvestment Rate,再投资率,定息证券现金流可以进行再投资的利率,
Reinvestment Risk,再投资风险,未来收益以较低利率进行再投资的风险,
Relative Strength,相对实力,展示一种股票相对其它同行业股票的表现的价格趋势指标。计算方法为将一种股票的价格表现除以适当指数在同一时期的价格表现,
Reorganization,企业重组,复苏经济有问题或破产公司的措施。企业改组包括资产与负债重估，以及与债权人磋商，以作出继续偿债的安排,
Repatriation,资金汇回本国,将外币转换成为本国货币的程序,
Repayment,偿还债务,偿还债务的行为,
Replacement Cost,重置成本,以类似资产置换现有资产牵涉的价格,
Required Rate Of Return,要求回报率,吸引投资者投资一种证券所需的回报率,
Required Reserves ,要求储备金,指根据有关规定，银行因应客户的存款而必须保存的准备金金额。这些资金必须存储于银行的保险库或附近的联邦储备银行,
Research and Development (R&D),研究及开发,旨在开发新产品或新工序的企业活动,
Restricted Stock,有限制股票,指需要遵守某些销售限制的内部人士持股。有限制股票的买卖必须根据美国证监会的特别条例进行,
Restructuring,业务重组,指对业务的重大调整，一般关于裁减人手及资产重估,
Retail Banking,零售银行,指典型的普罗市场银行，个人客户利用较大型商业银行的本地分行进行银行业务。零售银行提供的服务包括：储蓄及支票账户、房地产抵押、私人贷款、借记卡、信用卡等等,
Retail Investor,零售投资者,为自己买卖证券的个人投资者，而并非为任何公司或机构进行投资,
Retained Earnings,保留盈余,没有用作股息派发给股东，但保留在公司用作投资公司核心业务或偿付债务的净利润百分比，在资产负债表内列在股东权益项下。计算方法为净利润加(或净亏损减)期初保留盈利，然后减向股东派发的股息。,
Return,回报率,一种证券在特定期间的收入或损失，包括收入加资本收益。一般以百分比表达,
Return of Capital,资本回报率,资本回报指投资者收回部分或全部投入的资金，因此减低投资的价值。这并非任何形式的收益，因为只是回收投资，并不是获得高于原来投资的金额,
Return On Assets (ROA),资产回报率,评估公司相对其总资产值的盈利能力的有用指标。计算的方法为公司的年度盈利除以总资产值，资产回报率一般以百分比表示。有时也称为投资回报率,
Return On Capital Employed (ROCE),已动用资本回报率,显示公司资本投资效益及盈利能力的比率,
Return On Capital Gains,资本收益回报率,来自资本资产(投资或房地产)升值的回报,
Return On Equity (ROE),股本回报率,公司盈利能力的指标，是比较同一行业内不同企业盈利能力的拥有指标,
Return On Net Assets (RONA),净资产回报率,公司税后利润除以净资产得到的百分比率；用以衡量公司运用自有资本的效率，公司对股东投入资本的利用效率；它弥补了每股税后利润指标的不足，同时也是衡量钱生钱的关键指标。,
Return On Investment (ROI) ,投资回报率,一总投资交易所得的收益或亏损，一般以年度回报百分比表达,
Return On Investment Capital (ROIC),投资资金回报率,是指投出和/或使用资金与相关回报（回报通常表现为获取的利息和/或分得利润）之比例。用于衡量投出资金的使用效果。,
Return On Revenue (ROR),收入回报率,即指投入成本后所得到的收益比上之前的成本。,
Return On Sales (ROS),销售回报率,被广泛采用评估企业营运效益的比率。计算方法为扣除利息及税款前净收入除以销售额,
Revolving Credit,循环信贷,信贷额的一种，客户支付承诺费用，即可随时使用及偿还资金。循环信贷一般用作营运用途，信贷额每月视乎收入及开支而变动,
Right,购股权,给与股东以预定价格(一般低于当时市价)，购买新发行股票权力的证券，有权购买股票的数目取决于股东已经持有的股份。购股权证券的有效期一般很短，在到期后即失效,
Right Of First Refusal,优先权,一般而言，指一名人士或一家公司有权在其他人有机会购买前买入特定物品,
Rights Issue,购股权发行,向现有股东发行购股权，给与他们在特定时期内，以特定价格按比例买入额外股份的权力,
Rights Offering,购股权发行,向现有股东发行购股权，给与他们在特定时期内，以特定价格按比例买入额外股份的权力,
Ring Fence,围栏策略,投资者分离若干金额的资金，使之无需面对外部风险的策略，一般是离岸投资采用的策略,
Risk,风险,投资实际回报与预期的不同的机会。这包括损失部分或全部原来投资的可能性。一般以一种投资的历史回报或平均回报作为衡量的标准,
Risk Based Capital Requirement,风险资本要求,根据规定，银行及从事有风险投资机构必须维持的流动准备金,
Risk Adjusted Discount Rate,风险调整贴现率,在投资组合理论及资本预算分析中，指用来计算不明确或有风险收入流现值的贴现率，一般等于无风险率(多采用短期美国国库券的回报率)加特定投资或项目的风险溢价，这个风险溢价根据该投资或项目的风险特点而厘定,
Risk Adjusted Return,风险调整回报率,衡量一个基金或投资组合赚取回报所承担的风险的指标，一般以数字或评级表示,
Risk Adjusted Return on Capital (RAROC),风险调整资本回报率,在财务分析中，风险较高的项目及投资必须与无风险投资分开评估。在风险调整资本回报率的计算过程中，有风险现金流相对低风险现金流进行了适当贴现，因此能涵盖有关投资风险状态的变化,
Risk Capital,风险资本,投资者分配作投资高风险证券的资金,
Risk-Free Asset,无风险资产,可赚取一定未来回报的资产。国库券(特别是短期国库券)由于获得美国政府的担保，被认为是没有风险的投资,
Risk Free Rate of Return,无风险回报率,基本上没有风险的资产的利率,
Risk Tolerance,风险容忍度,投资者对于投资组合价值负面变化方面的不明朗因素的可接受程度,
Road Show,路演,证券发行人向潜在买家进行的报告，目的在于提高投资者对发行的兴趣,
Royalty,使用权税、专利权税,因使用一种财产，特别是专利权、有版权的作品、经营权或天然资源而向拥有者支付的费用,
Rule 144A,144A 条例,美国证监会条例，修订了对通过私募出售证券的两年持股限制，容许合资格机构投资者之间可以买卖这些证券,
Rule of 18,18定律,指通胀率及道琼斯工业平均指数的市盈率的总和是股市方向指标的理论。若总数高于18，即代表股价可能下跌，若总数低于18，则代表预期股价可能上升,
Rule of 72,72定律,可用以计算在特定利率之下，资金倍增所需的年数的理论，方法很简单，只需要将72除以复合利率，即可得出投资价值倍增所需的大约年数,
Russell 2000 Index,Russell 2000指数,Russell 3000指数中最小2000家企业股价表现的指数，是低市值股票的指标,
SEC,美国证券交易监督委员会 (美国证监会),美国国会成立的政府委员会，负责监督证券市场及保障投资者的利益。除此之外，委员会也负责监督美国的企业收购项目。美国证监会由五名委员所组成。美国证监会的法规旨在鼓励全面公开披露，以及保障投资公众，不会因为证券市场的欺诈或操控行为而蒙受损失。一般来说，大部分美国发行都必须在美国证监会注册,
S&P,标准普尔,从风险的角度，对股票、企业及市政债券评定等级的机构。此外，标准普尔也始创及追踪标准普尔指数，并发表多种金融及投资报告,
S&P500,标准普尔500,一个包含500种股票的指数，股票的选择根据市场规模、流通性及行业组别代表性。这是一个按市场价值比重调整的指数，每种股票在指数的比重与其市场价值成正比,
Sales Per Share,每股销售额,计算过去12个月每股总收入的比率。计算方法为一个财政年度的总收入除以该年度加权已发行股票数目,
Sales Tax,销售税,对零售货品或服务销售价格征收的税项,
Sales to Cash Flow Ratio,销售额与现金流比率,衡量公司销售额相对现金流表现的比率,
Salvage Value,残值,资产在有用寿命结束时出售可获得的预计价值,
Samurai Bond,武士债券,由日本以外公司在东京发行的日元债券,
Scarcity ,稀有,基本经济问题，人类有无穷欲望但资源却有限。由于资源稀有，人类需要作出不同的决策，以期有效地分配资源,
Secondary Market,二级市场,指投资者向另一名投资者买入资产的市场，而不是从发行企业购买,
Secondary Offering,二级发行,公司一名或以上主要股东出售证券所有或大部分持有量。承销收益由股东，而不是企业收取,
Secondary Stock,次级股票,由于总市值较低而被认为风险比蓝筹股要高的股票,
Sector,行业类股,一组属于同一行业的股票,
Sector Fund,行业基金,专门投资于个别行业或经济板块的共同基金,
Sector Rotation,转移投资行业,共同基金或投资组合经理将一个经济板块的资产转到另一个板块的举动,
Secured Debt,有抵押债务,有抵押品作担保或抵押，以减低借贷风险的债务,
Secured Note,有抵押票据,双边借贷协议，票据代表双方以特定利率分别借出及借入款项,
Securities & Exchange Commission (SEC),美国证券交易监督委员会 (美国证监会),美国国会成立的政府委员会，负责监督证券市场及保障投资者的利益。除此之外，委员会也负责监督美国的企业收购项目。美国证监会由五名委员所组成。美国证监会的法规旨在鼓励全面公开披露，以及保障投资公众，不会因为证券市场的欺诈或操控行为而蒙受损失。一般来说，大部分美国发行都必须在美国证监会注册,
Securities Lending,证券借贷,指经纪人把客户所拥有的证券借给卖空者,
Securitization ,证券化,指集合一组金融资产建立一种金融工具，并向投资者发售,
Security,证券,指代表股权(股票)、债务协议(债券)或拥有权(衍生工具)的文件,
Security Analyst,证券分析员,指对不同行业及公司进行研究，并发表研究报告及估值报告的专业人士。研究分析员作出买入、卖出及持有建议,
Seed Capital,种子资金,用以开展新项目或业务的初始股本金。由于项目仍处于概念性阶段，这笔资金一般金额不大,
Segregated Fund,独立基金,与共同基金相似的年金安排。独立基金是一种保险产品，只发售给保险公司,
Sell-Off ,抛售,快速出售证券，包括股票、债券及商品等,
Sell-Out,售出清理,指拟买入股票的经纪人或投资者未能及时结算交易，以至经纪人可强制性地代表投资者出售有关证券,
Seller's Market,卖方市场,指一种货品或服务供应不足的市场环境,
Selling Hedge,卖出对冲,期货市场的对冲策略，指卖出期货合约的目的在于抵消相关商品的买空头寸,
"Selling, General, & Administrative Expenses (SG&A)",销售及行政开支,损益表项目，指所有与经营业务所需的销售及一般开支,
Selling Short,卖空,卖出并未拥有的证券或卖出借入的证券。卖空者假设可以用低于卖空价格的价格买入股票,
Semi-annual,半年,每年发生两次的事件,
Semi-Variable Cost,半可变因素,同时具备固定及可变成分的成本。在特定生产或消耗量之内成本是固定，但超过一个水平之后，就成为可变成本,
Senior Security,高级证券,指在发行人破产的情况下，相对其它债权人获得优先偿付的证券(一般是债务证券),
Sensitivity Analysis,敏感度分析,预估若分析的一个主要预测出错可能出现结果的技巧,
Sentiment Indicator,投资情绪指标,泛指评估投资者对市场态度的各种指标,
Settlement Price,结算价格,合约买卖的平均价格，于每个交易日的开市及收盘时计算,
Shadow Pricing,影子定价,对非市场流通货品的任意定价,
Share,股票,代表一家企业股权的证书,
Share Capital,股本金,一家企业发行股份换取现金或其他代价所得的股本金,
Share Repurchase,回购股份,公司计划从市场买回自己的股票，从而减低已发行股票数量。一般来说，这指出公司管理层认为股票的市值过低,
Shareholder,股东,指拥有一家企业最少1股的任何人士、公司或机构,
Shareholder Value Added (SVA),股东增值,公司对股东价值的指标。基本计算方法为税后净营运利润，减公司根据加权平均资本成本(WACC)发行债务及股票的资本成本,
Shareholder Value Transfer (SVT),股东价值转移,衡量公司的股本权益通过认股期权的行使而流出到行政人员的数量,
Shareholders Equity,股东权益,一家企业的总资产减总负债，或相等于股本金加保留营运减库存股,
Shares Outstanding,已发行股票,指由投资者拥有的股票数量。这包括有限制股票(公司管理人员及内部人士持有)以及公众持有的股票。公司回购的股票不包括在已发行股票之内,
Shark Repellent,抗鲨措施,企业采取阻止不受欢迎收购的措施，例如与高级管理人员签署黄金降落伞协议、与另一家公司进行防御性合并等等,
Shark Watcher,鲨变监察者,专门为客户监察收购行动早期迹象的机构,
Shelf Offering,暂搁发行,美国证监会的条款，容许发行人注册新证券发行，但无须马上出售所有证券,
Shelf Registration,暂搁注册,美国证监会第415条条款，容许一家企业在实行公开发行前最多两年进行注册手续。有关企业必须向美国证监会提交规定的年度及季度报告,
Short Selling,卖空,卖出并未拥有的证券或卖出借入的证券。卖空者假设可以用低于卖空价格的价格买入股票,
Silent Partner,隐名合伙人,指并无任何管理责任，但提供资本，同时分担有关企业的损失的投资者,
Sinking Fund,偿债基金,偿付来自债券发行资金的方法。发行人定期向一个信托人支付款项，然后信托人通过在公开市场买入债券而赎回部分债券,
Small-Cap,低市值公司,指总市值较低的股票。不同证券行对低市值的定义有所不同，但一般指总市值界乎3亿至20亿美元的公司,
Soft Call Protection,非强制买回保障,可转换定息及债务证券的条款，规定若发行人提前赎回证券，需要支付溢价,
Soft Commodity,软商品,指咖啡、可可、糖及水果等种植所得，而不是来自采矿的商品,
Soft Currency,软货币,相等于疲弱的货币，即需求非常低，而价格波动大的货币,
Soft Landing,软着陆,指经济增长足以防止衰退但不足以引发高通胀,
Sole Proprietorship,独资经营,指未注册、只有一个股东的业务机构,
Solvency,偿付能力、资力,一家公司偿付长期固定开支，以及拥有充足资金作长期发展及增长的能力,
Solvency Ratio ,偿付比率,众多衡量公司偿付长期债务责任比率的一种,
Sovereign Risk,国家主权风险,一个国家政府由于政策改变而不能履行贷款合约的风险,
S&P 500,标准普尔500,一个包含500种股票的指数，股票的选择根据市场规模、流通性及行业组别代表性。这是一个按市场价值比重调整的指数，每种股票在指数的比重与其市场价值成正比,
S&P (Standard And Poor's),标准普尔,从风险的角度，对股票、企业及市政债券评定等级的机构。此外，标准普尔也始创及追踪标准普尔指数，并发表多种金融及投资报告,
Specialist ,专营经纪人,指拥有某些股票、在证券交易所场内进行买卖的专业人士。专营经纪人负责管理有限交易，但不会提供有关其他交易商有限订单的信息,
Specific Risk,特殊风险,影响很少数资产的风险，有时也称为_窍低承苑缦?,
Speculation,投机,选择进行风险较高投资，以期从意料以外价格变动中获利的投资行为,
Spinoff,分拆,一家公司通过发售或分派旗下业务部分的新股而成立的独立新公司,
Spot Commodity,现货商品,在现货市场买卖的商品，与商品期货不同，现货商品交易一般会交付实际商品，而商品期货一般不会进行实际交付,
Spot Price,现货即期价格,在特定时间及地点买卖特定商品的价格,
Spot Trade,即期交易,可即时交付外币或商品的买卖交易,
Stakeholder,权益方,拥有一家企业股份或权益的人士,
Stamp Duty,印花税,对一些文件按其价值收取的收费,
Stock Dividend,股票股息,以额外股份形式，而不是现金形式支付的股息,
Stock Option,股票期权,一方售予另一方的特权，使买方有权(但无责任)以特定的价格在特定的时间内购买(买回)或出售(卖回)一种股票,
Stock Quote,股票报价,一种股票在一个交易日的价格(包括叫价及出价)的清单。股票的报价以往用分数形式表示，但目前几乎所有交易所都采用小数点,
Stock Record,股票纪录,协助经纪行纪录投资头寸及证券实际地点的系统,
Stock Split,分股,将公司现有股票划分为更多的股票。在一分为二的分股中，每名股东每持有一股便可额外获得多一股,
Strategic Alliance,战略联盟,两家公司的合作安排，两者决定分享资源，互补长短,
Stress Testing,压力测试,应用在资产负债组合的模拟技巧，衡量资产负债对不同财务压力的反应,
Strike Price,行使价格,指期权持有人在行使期权合约时可以买入(买入期权)或卖出(出售期权)相关股票的每股价格,
Structural Unemployment,结构性失业,经济体系出现根本变化而造成的失业。这些改变却同时为受培训的劳工开创新职位,
Structured Finance,结构性融资,许多金融机构向融资需要特殊的企业提供的服务。传统的金融工具，例如贷款等一般不能满足这些融资需要。结构性融资一般包含非常复杂的金融交易,
Subordinated Debt,从属债务,指在资产或盈利索偿权上等级低于其他贷款(或证券)的贷款(或证券),
Subsequent Offering,后续发行,公司在首次公开上市后发行更多股票,
Subsidiary,子公司、附属公司,50%或以上投票股权由另一家公司持有的企业,
Supply Chain,供应链,由生产、处理、及/或分销一种特定产品的不同公司组成的网络,
Supply Chain Management,供应链管理,为提高效益及盈利能力而对产品供应链进行的管理及协调,
Supply-Side Theory,供应方理论,一种经济理论，认为加强一个经济体系供应更多货品的能力是刺激经济增长的最有效方法,
Supply,供应,可供消费者购买的货品或服务的总数量,
Surcharge,附加费,附加的费用、成本或税项,
Sushi Bond,寿司债券,日本发行人发行的欧洲债券，这类债券不计入日本机构持有国外证券的最高限额,
Sustainable Growth Rate,可持续增长率,一家公司可以无需提高负债率而维持的最高增长率，计算方法为：股本回报率 x (1 - 股息支付率),
Swap,掉期,传统上指以一种证券交换另一种证券，以改变期限(债券)、发行质量(股票或债券)，或因为投资目标有所改变。近年来，掉期包含货币掉期及利率掉期的情况日益普遍,
Swap Rate,掉期利率,掉期固定部分的利率，由其特定市场决定，是掉期协议其中一方的利率,
Syndicate,承销团,一组合作执行大型项目的银行家、保险公司等,
Syndicated Loan,银团贷款,一组银行合作提供资金，向一名借贷人借出非常大额的贷款。一般由一家牵头银行承担贷款的一个小部分，然后将余额分配给其他银行,
Synergy,协同效应,一般见于并购项目，协同效益指两家公司合并后的价值及表现比合并前两者的总和要高,
Synthetic Collateralized Debt Obligation,合成有抵押债务,由一组信贷衍生工具作担保的人为有抵押债务责任,
Synthetic Lease,合成租赁,指结构特殊的营运租赁，这种租赁不出现在资产负债表的负债项下，反而被列为损益表的开支项,
Synthetic Put,合成出售期权,卖空一种证券以及买空该证券期权的投资策略,
Systematic Risk,系统性风险,影响多种资产的风险,
Tag Along Rights,跟随权,保障少数的措施(一般在创业资金交易中)。基本上，如果多数股东出售其股权，少数股东有权加入交易，出售持有的公司少数股权,
Take or Pay,必付合约,合约条款，规定交易的一方必须收取交付的货品或支付特定金额的款项,
Takeover,收购,指收购方向收购对象提出收购建议。若收购对象是一家上市公司，则收购方会向已发行股票的持有人提出收购建议,
Tangible Asset,有形资产,实质的资产,
Target Company,目标公司,成为另一家公司收购对象的公司,
Target Price,目标价格,投资分析员或顾问的预测价格水平,
Tariffs ,关税,对进口的货品及服务征收的税项，也称为_口?,
Taxable Gain,应课税收益,需要付税的收入部分,
Taxable Income,应课税收入,用来计算所得税的净收入额,
Tax Haven,避税乐园,指个人及业务无需交税或税率很低的国家,
Tax Holiday,免税期,向国外投资者提供税务宽减的政府鼓励措施,
Tax Shield,税盾,利用应课税收入的免税额减低税款,
Technical Analysis,技术分析,指通过分析市场活动的统计数据，例如以往价格及交易量评估证券的方法。技术分析不尝试评估证券的内在价值。技术分析员一般利用图表找出可预见未来趋势的模式,
Tender Offer,股权收购要约,收购一家企业部分或所有股东股份的建议。收购建议的价值一般高于市场价格,
Tenor,期限,一项合约的有效时期或寿命,
Terminal Value,最终价值,一项投资在期末的价值，已经计入利率的影响,
Term Sheet,条款书,无约束力的协议，列出一项投资一旦落实的基本条款及条件,
The Wealth Effect,财富效应,财富效应指人们资产越多，消费意欲越强。这个理论的前提为人们的财富及可支配收入会随着股价上升而增加。因此，人们更愿意消费,
The Fed,联储局,美国联邦储备体系的监管机构。监理会的七名成员由总统委任，并须获得参议院的批准,
Theoretical Dow Jones Index ,理论性道琼斯指数,计算道琼斯指数(主要为道琼斯工业平均指数)的方法，假设所有指数成份股在一个交易日的相同的时间达到最高和最低价格,
Tier 1 Capital,一级资本,衡量银行资本充足状况的指标。一级资本是核心资本，包括股本金及已披露准备金,
Tier 2 Capital,二级资本,衡量银行资本充足状况的指标。二级资本是银行的次等资本，包括未披露准备金、一般损失准备金、从属有期债务等等,
Time Value of Money,资金的时间价值,基于资金可以赚取利息的基本原则，今天价值1元的事物，若用来进行投资，将来的价值会更高。又称为未来价值,
Time-Weighted Rate of Return,时间加权回报率,评估投资组合复合增长率的方法。由于这个方法消除了新资金流入造成的误导作用，可用作比较投资经理的回报。在计算时，假设在期初投入单一投资，消除了不同现金流入的效应，以计算出期末市场价值的增长或损失,
Time Deposit,定期存款,设有固定时期的储蓄户口或存款证，存款人必须提交书面通知，才可以提取存款,
Today's High,今天最高,交易日内最高买卖价格,
Today's Low,今天最低,交易日内最低买卖价格,
Tombstone,纪念铭座,投资银行有关证券公开发行刊登的印刷媒体广告，内容包括发行细节以及根据重要性排名的承销团名单,
Total Debt to Total Assets,总债务与总资产比率,通过计算公司资产中资金来自债务融资的比例而衡量公司的财务风险。计算方法为短期债务加长期债务，除以公司的总资产,
Total Enterprise Value (TEV),总企业价值,用以比较债务水平不同的公司的估值，总企业价值 = 总市值 + 有利息债务 + 优先股 - 过剩现金,
Total Dependency Ratio,瞻养比率,显示受瞻养人口(0-14岁及65岁以上)相对总人口(15-64岁)的比率。计算方法为(受瞻养人口/15-64岁人口)X 100%,
Total Revenue,总收入,特定时期的总销售额及其他收入,
Total Tax,总税项,在扣除所有减免后一名人士需要缴交税项的总额,
Total Utility,总效用,通过使用特定货品或服务客户获得的总效用,
Tracker Fund,追踪基金,提供与一种指数相同回报的共同基金。资金投资于有关指数以内所有公司，投资比重也与指数相同,
Tracking Stock,追踪股票,母公司发行的股票，用以追踪公司内特定部门或子公司的表现,
Trade Finance,贸易融资,指国际贸易交易的货币、银行、信贷、投资及资产管理,
Trade-Weighted Dollar,贸易加权美元,指美元的外币价格，或美元的出口价值,
Trading Below Cash,股票价值低于现金值,指公司的总股票价值低于其现金值减债务,
